latitude,longitude,side_b
18.345696,96.857289,KNU
18.188670,96.349580,KNU
18.860306,96.828987,KNU
16.537659,98.148440,KNU
17.346960,97.656740,KNU
18.068215,97.376831,KNU
18.068215,97.376831,KNU
17.504060,96.746500,KNU
18.547024,96.580338,KNU
18.480828,96.436658,KNU
16.537659,98.148440,KNU
16.096510,97.898820,KNU
17.345833,96.993879,KNU
16.496470,98.158710,KNU
16.480680,98.149370,KNU
16.368240,98.558498,KNU
16.537659,98.148440,KNU
15.513410,97.856160,KNU
15.343650,97.932579,KNU
16.954830,97.417050,KNU
18.460060,96.545760,KNU
17.420489,96.994378,KNU
16.554022,98.238231,KNU
17.205240,97.252980,KNU
18.068215,97.376831,KNU
18.068215,97.376831,KNU
12.443239,98.777347,KNU
12.443239,98.777347,KNU
15.343650,97.932579,KNU
16.537659,98.148440,KNU
16.552130,98.267140,KNU
18.480828,96.436658,KNU
16.061380,97.991330,KNU
16.956195,97.312870,KNU
16.298785,97.908703,KNU
17.420489,96.994378,KNU
16.298785,97.908703,KNU
16.484722,97.625833,KNU
16.554022,98.238231,KNU
16.190940,97.896190,KNU
16.554022,98.238231,KNU
16.537659,98.148440,KNU
16.537659,98.148440,KNU
16.537659,98.148440,KNU
18.533370,96.658382,KNU
16.956195,97.312870,KNU
18.533370,96.658382,KNU
18.405270,96.461621,KNU
17.280924,97.327985,KNU
16.496470,98.158710,KNU
17.006670,97.435360,KNU
18.244185,96.684225,KNU
22.000000,98.000000,God's Army
22.000000,98.000000,God's Army
16.554022,98.238231,DKBA 5
16.686389,98.506111,DKBA 5
16.686389,98.506111,DKBA 5
17.500000,97.750000,DKBA 5
15.301667,98.401944,DKBA 5
17.500000,97.750000,DKBA 5
16.686389,98.506111,DKBA 5
15.833678,98.244408,DKBA 5
17.500000,97.750000,DKBA 5
17.500000,97.750000,DKBA 5
17.500000,97.750000,DKBA 5
17.500000,97.750000,DKBA 5
17.500000,97.750000,DKBA 5
15.833678,98.244408,DKBA 5
17.500000,97.750000,DKBA 5
17.500000,97.750000,DKBA 5
16.541082,98.529827,DKBA 5
17.942742,97.702667,DKBA 5
17.123867,97.818365,DKBA 5
17.358333,97.679167,DKBA 5
17.500000,97.750000,DKBA 5
16.686389,98.506111,DKBA 5
