WEEK,REGION,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE,ID,CENTROID_LATITUDE,CENTROID_LONGITUDE,YEAR,MONTH,DAY
2025-08-02,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Air/drone strike,1,0,3841.0,Political violence,2043,17.1075,95.1442,2025,8,2
2025-08-09,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Air/drone strike,1,0,2556.0,Political violence,2043,17.1075,95.1442,2025,8,9
2025-08-23,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Air/drone strike,1,0,4315.0,Political violence,2043,17.1075,95.1442,2025,8,23
2025-09-13,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Air/drone strike,2,0,28465.0,Political violence,2043,17.1075,95.1442,2025,9,13
2025-10-18,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Air/drone strike,1,24,20746.0,Political violence,2043,17.1075,95.1442,2025,10,18
2025-11-22,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Air/drone strike,1,2,,Political violence,2043,17.1075,95.1442,2025,11,22
2025-11-29,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Air/drone strike,1,0,,Political violence,2043,17.1075,95.1442,2025,11,29
2025-12-13,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Air/drone strike,2,4,9333.0,Political violence,2043,17.1075,95.1442,2025,12,13
2025-12-20,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Air/drone strike,1,0,,Political violence,2043,17.1075,95.1442,2025,12,20
2021-11-13,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Grenade,1,0,79021.0,Political violence,2043,17.1075,95.1442,2021,11,13
2021-11-27,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Grenade,1,0,52986.0,Political violence,2043,17.1075,95.1442,2021,11,27
2022-01-08,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Grenade,1,0,55456.0,Political violence,2043,17.1075,95.1442,2022,1,8
2022-02-26,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Grenade,1,0,71709.0,Political violence,2043,17.1075,95.1442,2022,2,26
2022-03-19,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Grenade,1,0,18812.0,Political violence,2043,17.1075,95.1442,2022,3,19
2022-09-10,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Grenade,1,0,44974.0,Political violence,2043,17.1075,95.1442,2022,9,10
2022-10-01,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Grenade,1,0,11910.0,Political violence,2043,17.1075,95.1442,2022,10,1
2022-10-15,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Grenade,1,0,11824.0,Political violence,2043,17.1075,95.1442,2022,10,15
2024-05-11,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Grenade,1,0,74101.0,Political violence,2043,17.1075,95.1442,2024,5,11
2024-07-06,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Grenade,1,0,74101.0,Political violence,2043,17.1075,95.1442,2024,7,6
2021-05-08,Southeast Asia,Myanmar,Ayeyarwady,Explosions/Remote violence,Remote explosive/landmine/IED,2,0,116318.0,Political violence,2043,17.1075,95.1442,2021,5,8
